Time Stamp	Gyroscope X	Gyroscope Y	Gyroscope Z
RAW	RAW	RAW	RAW
no units	no units	no units	no units
4738484	-6	178	-32
4738812	-3	173	-33
4739140	3	177	-30
4739468	-3	181	-43
4739796	-12	175	-32
4740124	4	202	-41
4740452	5	196	-40
4740780	18	168	-59
4741108	40	188	-71
4741436	26	194	-64
4741764	16	165	-48
4742092	8	173	-33
4742420	-24	187	-15
4742748	-11	167	-24
4743076	-12	149	-28
4743404	-17	153	-31
4743732	-30	149	-19
4744060	-46	143	-22
4744388	-44	135	-17
4744716	-57	143	-24
4745044	-48	150	-18
4745372	-41	157	-27
4745700	-40	139	-21
4746028	-49	150	-22
4746356	-46	130	-20
4746684	-58	140	-26
4747012	-61	142	-11
4747340	-56	129	-22
4747668	-68	140	-14
4747996	-60	151	-11
4748324	-68	124	-15
4748652	-80	127	-3
4748980	-58	123	-8
4749308	-56	124	1
4749636	-50	119	-8
4749964	-51	131	-1
4750292	-59	141	3
4750620	-67	116	-7
4750948	-88	114	11
4751276	-118	103	13
4751604	-115	105	14
4751932	-112	104	23
4752260	-105	104	33
4752588	-94	103	14
4752916	-87	115	6
4753244	-89	122	15
4753572	-91	97	19
4753900	-105	109	28
4754228	-114	115	22
4754556	-126	121	4
4754884	-118	121	7
4755212	-94	114	1
4755540	-99	119	7
4755868	-101	120	-5
4756196	-107	99	-1
4756524	-127	111	9
4756852	-120	102	6
4757180	-108	129	-10
4757508	-76	123	-28
4757836	-77	125	-15
4758164	-63	105	-28
4758492	-63	125	-8
4758820	-92	117	-14
4759148	-101	127	-26
4759476	-87	122	-7
4759804	-81	123	-27
4760132	-63	127	-30
4760460	-67	126	-23
4760788	-68	122	-12
4761116	-61	133	-20
4761444	-63	125	-40
4761772	-66	141	-41
4762100	-72	127	-14
4762428	-85	125	-33
4762756	-90	131	-30
4763084	-80	127	-24
4763412	-90	136	-24
4763740	-67	131	-33
4764068	-54	133	-41
4764396	-61	147	-28
4764724	-83	128	-24
4765052	-80	138	-17
4765380	-105	118	-32
4765708	-100	125	-15
4766036	-94	122	-16
4766364	-76	124	-21
4766692	-80	131	-27
4767020	-92	127	-29
4767348	-91	131	-22
4767676	-98	124	-8
4768004	-90	118	-14
4768332	-98	127	-8
4768660	-76	124	-10
4768988	-80	133	-10
4769316	-66	119	-14
4769644	-86	122	-9
4769972	-87	126	-5
4770300	-84	119	6
4770628	-71	111	6
4770956	-56	128	-11
4771284	-71	120	-19
4771612	-69	127	-14
4771940	-71	114	-8
4772268	-89	104	-3
4772596	-90	109	2
4772924	-88	114	1
4773252	-74	124	2
4773580	-59	125	-2
4773908	-57	110	-5
4774236	-70	124	9
4774564	-61	129	4
4774892	-55	132	-8
4775220	-45	130	-7
4775548	-35	136	-16
4775876	-33	124	1
4776204	-46	133	-11
4776532	-43	131	-15
4776860	-54	126	-19
4777188	-34	123	-19
4777516	-59	122	-12
4777844	-64	134	-16
4778172	-50	116	-26
4778500	-49	131	-18
4778828	-66	133	-25
4779156	-73	118	-44
4779484	-74	127	-28
4779812	-84	123	-31
4780140	-88	131	-27
4780468	-89	137	-42
4780796	-78	136	-53
4781124	-88	131	-48
4781452	-82	136	-42
4781780	-77	130	-42
4782108	-73	132	-35
4782436	-74	139	-38
4782764	-64	146	-34
4783092	-71	121	-33
4783420	-51	125	-44
4783748	-45	129	-26
4784076	-61	141	-33
4784404	-65	121	-27
4784732	-70	128	-24
4785060	-75	128	-31
4785388	-69	111	-38
4785716	-77	125	-29
4786044	-63	119	-37
4786372	-62	128	-31
4786700	-69	117	-29
4787028	-51	136	-30
4787356	-69	120	-35
4787684	-46	126	-54
4788012	-49	134	-51
4788340	-76	133	-39
4788668	-64	144	-37
4788996	-71	139	-37
4789324	-43	136	-62
4789652	-37	131	-35
4789980	-18	133	-37
4790308	4	152	-53
4790636	8	160	-64
4790964	7	142	-68
4791292	-3	148	-65
4791620	-16	154	-54
4791948	-10	141	-48
4792276	-35	155	-42
4792604	-34	154	-53
4792932	-36	146	-53
4793260	-20	147	-49
4793588	-15	155	-57
4793916	-26	143	-57
4794244	-59	139	-37
4794572	-64	129	-34
4794900	-59	156	-27
4795228	-34	142	-38
4795556	-20	148	-56
4795884	-31	143	-49
4796212	-63	129	-36
4796540	-71	139	-18
4796868	-80	142	-13
4797196	-44	154	-27
4797524	-20	160	-44
4797852	-14	151	-52
4798180	-50	134	-40
4798508	-69	121	-13
4798836	-79	148	-28
4799164	-73	165	-23
4799492	-43	146	-38
4799820	-45	148	-52
4800148	-77	121	-45
4800476	-116	141	-35
4800804	-160	132	-26
4801132	-174	129	-31
4801460	-166	134	-34
4801788	-166	126	-15
4802116	-155	110	-37
4802444	-133	122	-27
4802772	-123	133	-50
4803100	-120	136	-40
4803428	-136	131	-44
4803756	-139	155	-42
4804084	-118	160	-43
4804412	-113	147	-48
4804740	-97	160	-31
4805068	-92	149	-34
4805396	-104	154	-28
4805724	-107	158	-36
4806052	-108	153	-17
4806380	-95	154	-21
4806708	-85	138	-24
4807036	-70	141	-25
4807364	-49	158	-29
4807692	-55	143	-40
4808020	-51	144	-25
4808348	-70	142	-25
4808676	-97	146	-36
4809004	-103	138	-11
4809332	-101	134	-28
4809660	-85	133	-26
4809988	-60	151	-43
4810316	-32	149	-31
4810644	-48	141	-36
4810972	-72	141	-23
4811300	-74	146	-19
4811628	-76	137	-11
4811956	-86	148	-16
4812284	-57	146	-33
4812612	-27	145	-28
4812940	-25	152	-45
4813268	-35	136	-46
4813596	-83	146	-40
4813924	-99	139	-34
4814252	-106	158	-28
4814580	-80	137	-54
4814908	-63	149	-44
4815236	-34	144	-58
4815564	-30	123	-49
4815892	-32	124	-35
4816220	-50	101	-39
4816548	-60	114	-32
4816876	-38	114	-26
4817204	-30	127	-45
4817532	-6	107	-48
4817860	-31	113	-35
4818188	-33	112	-32
4818516	-21	136	-16
4818844	-17	111	-48
4819172	-2	128	-59
4819500	6	106	-51
4819828	-10	107	-56
4820156	-22	117	-44
4820484	-42	113	-48
4820812	-52	99	-54
4821140	-50	116	-63
4821468	-11	101	-60
4821796	-17	114	-63
4822124	-2	103	-58
4822452	17	105	-61
4822780	-12	104	-79
4823108	-21	116	-60
4823436	-28	127	-57
4823764	-14	121	-66
