2125;1009;957;920;995
2200;1008;958;920;995
2288;1008;959;924;995
2375;1008;960;927;994
2462;1009;959;920;994
2550;1010;936;891;995
2637;1010;896;880;996
2724;1010;750;908;997
2812;1009;508;942;999
2900;1000;346;957;1002
2989;688;319;965;1004
3076;634;273;953;999
3161;850;240;949;956
3247;1004;857;858;508
3334;1008;979;277;420
3422;1008;987;199;374
3509;1003;987;189;337
3596;1002;988;161;324
3684;1003;988;167;304
3771;1005;989;147;302
3858;1008;992;151;265
3946;1002;986;108;272
4033;675;910;987;1001
4120;564;859;992;1013
4208;538;854;988;1015
4295;600;773;473;1015
4381;747;616;282;689
4466;999;534;319;353
4553;1009;962;309;321
4640;1009;971;962;964
4727;1010;869;966;999
4816;1005;615;956;1005
4904;998;438;948;1008
4992;990;296;961;1006
5080;678;226;969;1007
5167;608;243;983;1010
5254;525;239;986;1012
5342;487;216;587;1013
5428;996;961;240;806
5514;1006;978;255;460
5601;1011;967;211;439
5688;1012;944;88;442
5774;1012;704;107;362
5861;1010;404;970;507
5948;850;238;986;992
6034;681;188;986;1003
6120;606;215;986;999
6206;577;177;987;997
6292;486;178;987;1002
6379;511;169;970;1011
6466;425;171;897;1015
6554;398;159;315;1016
6641;358;159;172;1013
6727;392;971;173;696
6814;1001;978;174;637
6901;1009;963;249;559
6988;1011;795;234;409
7076;1010;454;116;325
7163;1009;273;124;342
7249;870;194;988;999
7336;694;197;992;1012
7424;685;174;933;1014
7511;629;156;232;1006
7597;609;197;275;603
7684;1009;977;266;499
7771;1012;941;258;424
7858;1012;529;161;470
7945;977;260;684;455
8031;748;204;994;1010
8118;562;187;974;1015
8206;541;147;305;1013
8292;475;157;130;633
8378;1002;980;255;393
8466;1011;953;253;472
8553;1012;555;174;416
8639;992;256;201;413
8725;698;192;994;1009
8813;500;186;972;1015
8900;558;172;196;1012
8986;504;204;216;525
9072;999;979;222;302
9158;1013;944;207;452
9245;1011;494;157;462
9332;925;255;149;405
9418;695;186;991;1010
9505;577;151;977;1015
9592;516;169;237;1013
9679;541;195;163;661
9764;997;977;181;434
9850;1012;954;185;481
9938;1010;528;121;481
10024;968;290;120;422
10112;689;172;992;1011
10201;392;164;970;1015
10289;391;162;210;1011
10376;356;166;234;612
10464;1002;978;254;418
10552;1011;940;214;403
10639;1009;537;94;463
10725;969;260;664;407
10813;680;188;991;1012
10901;519;165;970;1015
10989;460;145;200;1012
11077;497;172;191;607
11164;1006;981;207;419
11252;1012;969;190;466
11341;1010;663;129;455
11429;1008;346;116;496
11517;1009;272;943;556
11606;869;125;991;997
11693;615;120;979;1009
11781;660;126;874;1013
11870;630;141;307;1015
11958;419;147;182;1015
12044;985;978;93;808
12131;1004;979;194;521
12219;1005;923;186;437
12307;1009;658;159;444
12396;1011;334;154;477
12484;1009;179;991;789
12572;812;131;993;1000
12661;696;145;980;1008
12749;615;139;959;1013
12837;499;133;529;1015
12926;298;944;137;1014
13014;999;983;117;697
13101;1004;966;161;533
13189;1003;885;151;483
13277;1005;484;76;554
13364;1007;249;530;600
13452;856;163;991;1008
13541;714;161;977;1010
13629;614;163;921;1012
13717;520;153;344;1014
13806;153;874;153;1013
13894;1004;979;134;784
13982;1011;936;111;628
14071;1011;534;586;446
14159;997;270;973;1000
14247;703;177;966;1008
14337;578;153;926;1009
14425;484;149;872;1011
14512;482;17;428;1013
14601;1002;908;132;1013
14689;1007;955;89;976
14776;1009;971;127;568
14865;1011;952;171;378
14953;1012;815;112;392
15041;1009;294;858;997
15130;668;158;968;1015
15218;569;148;221;1016
15303;651;96;65;902
15387;995;123;155;443
15475;1012;950;153;242
15563;1012;970;113;269
15650;1009;951;84;318
15738;1010;699;979;992
15827;1010;647;976;1003
15918;1009;387;944;1007
16009;1009;670;848;1008
16099;1009;556;744;1008
16190;1009;189;611;1007
16280;1009;148;823;1006
16368;1009;80;195;972
16456;1010;125;251;353
16544;1012;497;618;344
16631;1011;87;971;966
16717;999;103;985;994
16805;758;133;989;1008
16893;651;141;985;1014
16982;599;146;970;1015
17070;607;81;252;1008
17155;664;62;264;585
17239;659;6;112;1010
17325;1003;0;981;1014
17413;1009;849;986;1013
17503;1004;974;972;1005
17592;996;978;973;974
17678;988;980;972;984
17764;992;981;976;993
17850;989;981;983;981
17937;962;982;987;896
18023;783;982;989;576
18109;176;981;990;710
18196;128;980;992;890
18282;145;979;993;900
18368;634;978;993;959
18455;967;977;993;974
18541;981;976;993;984
18627;978;976;992;993
18713;978;975;991;999
18801;979;977;990;1001
